"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Average retail price of electricity","cents per kilowatthour",,,,,,,,,,,,,
"United States","cents per kilowatthour","ELEC.PRICE.US-ALL.A",,,,,,,,,,,,
"United States : all sectors","cents per kilowatthour","ELEC.PRICE.US-ALL.A",9.74,9.82,9.83,9.90,9.84,10.07,10.44,10.41,10.27,10.48,10.53,10.54
"United States : residential","cents per kilowatthour","ELEC.PRICE.US-RES.A",11.26,11.51,11.54,11.72,11.88,12.13,12.52,12.65,12.55,12.89,12.87,13.01
"United States : commercial","cents per kilowatthour","ELEC.PRICE.US-COM.A",10.26,10.16,10.19,10.24,10.09,10.26,10.74,10.64,10.43,10.66,10.67,10.68
"United States : industrial","cents per kilowatthour","ELEC.PRICE.US-IND.A",6.96,6.83,6.77,6.82,6.67,6.89,7.10,6.91,6.76,6.88,6.92,6.81
"United States : transportation","cents per kilowatthour","ELEC.PRICE.US-TRA.A",10.71,10.66,10.56,10.46,10.21,10.55,10.45,10.09,9.63,9.68,9.70,9.66
"United States : other","cents per kilowatthour","ELEC.PRICE.US-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New England","cents per kilowatthour","ELEC.PRICE.NEW-ALL.A",,,,,,,,,,,,
"New England : all sectors","cents per kilowatthour","ELEC.PRICE.NEW-ALL.A",16.06,15.65,14.89,14.49,14.02,14.47,15.45,16.52,16.13,16.58,17.63,17.76
"New England : residential","cents per kilowatthour","ELEC.PRICE.NEW-RES.A",17.65,17.48,16.23,15.89,15.71,16.22,17.82,19.43,18.81,19.41,20.60,21.10
"New England : commercial","cents per kilowatthour","ELEC.PRICE.NEW-COM.A",15.77,15.21,14.72,14.31,13.68,13.97,14.70,15.46,15.18,15.48,16.46,16.33
"New England : industrial","cents per kilowatthour","ELEC.PRICE.NEW-IND.A",13.47,13.44,12.98,12.55,11.83,12.25,11.84,12.34,12.20,12.54,13.19,13.07
"New England : transportation","cents per kilowatthour","ELEC.PRICE.NEW-TRA.A",12.02,8.19,8.43,7.85,6.68,12.15,10.38,10.07,8.19,8.28,9.00,9.20
"New England : other","cents per kilowatthour","ELEC.PRICE.NEW-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
