"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Number of customer accounts","number of customers",,,,,,,,,,,,,
"United States","number of customers","ELEC.CUSTOMERS.US-ALL.A",,,,,,,,,,,,
"United States : all sectors","number of customers","ELEC.CUSTOMERS.US-ALL.A",143395691,143529126,144139862,144508982,145293583,146288214,147373362,148632855,150055191,151779385,153338872,154898041
"United States : residential","number of customers","ELEC.CUSTOMERS.US-RES.A",125037870,125208777,125717767,126143072,126832252,127776941,128680294,129811667,131068719,132579661,133893220,135249595
"United States : commercial","number of customers","ELEC.CUSTOMERS.US-COM.A",17582277,17562150,17674167,17637928,17728903,17679466,17853836,17985582,18148290,18359330,18605300,18694187
"United States : industrial","number of customers","ELEC.CUSTOMERS.US-IND.A",774817,757497,747691,727889,732344,831734,839154,835527,838099,840310,840270,954176
"United States : transportation","number of customers","ELEC.CUSTOMERS.US-TRA.A",726,703,238,92,83,74,79,78,83,85,83,83
"United States : other","number of customers","ELEC.CUSTOMERS.US-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New England","number of customers","ELEC.CUSTOMERS.NEW-ALL.A",,,,,,,,,,,,
"New England : all sectors","number of customers","ELEC.CUSTOMERS.NEW-ALL.A",6984973,6976278,7025371,7065530,7080663,7098390,7133303,7224690,7191274,7246926,7284468,7324852
"New England : residential","number of customers","ELEC.CUSTOMERS.NEW-RES.A",6125483,6136234,6162015,6189705,6203722,6221627,6243010,6322828,6290386,6338672,6377606,6411588
"New England : commercial","number of customers","ELEC.CUSTOMERS.NEW-COM.A",831567,810696,833705,841551,842772,847127,862269,874945,874471,885220,883828,889950
"New England : industrial","number of customers","ELEC.CUSTOMERS.NEW-IND.A",27916,29345,29646,34267,34164,29631,28016,26910,26411,23028,23027,23308
"New England : transportation","number of customers","ELEC.CUSTOMERS.NEW-TRA.A",6,3,5,7,5,5,8,7,7,6,7,6
"New England : other","number of customers","ELEC.CUSTOMERS.NEW-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Connecticut","number of customers","ELEC.CUSTOMERS.CT-ALL.A",,,,,,,,,,,,
"Connecticut : all sectors","number of customers","ELEC.CUSTOMERS.CT-ALL.A",1612646,1600305,1610628,1608709,1609734,1609953,1619264,1625899,1643333,1652869,1661837,1667152
"Connecticut : residential","number of customers","ELEC.CUSTOMERS.CT-RES.A",1452080,1447249,1451806,1453863,1454650,1454963,1459240,1468957,1486740,1495577,1503701,1510966
"Connecticut : commercial","number of customers","ELEC.CUSTOMERS.CT-COM.A",155329,148174,153846,150086,150435,150419,155372,152482,152181,152903,153825,151980
"Connecticut : industrial","number of customers","ELEC.CUSTOMERS.CT-IND.A",5232,4881,4975,4756,4648,4569,4648,4458,4408,4386,4308,4203
"Connecticut : transportation","number of customers","ELEC.CUSTOMERS.CT-TRA.A",5,2,2,4,2,2,4,3,4,3,4,3
"Connecticut : other","number of customers","ELEC.CUSTOMERS.CT-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Maine","number of customers","ELEC.CUSTOMERS.ME-ALL.A",,,,,,,,,,,,
"Maine : all sectors","number of customers","ELEC.CUSTOMERS.ME-ALL.A",785955,787602,790711,792948,795596,797073,801516,799291,800299,810223,808978,813498
"Maine : residential","number of customers","ELEC.CUSTOMERS.ME-RES.A",695367,696822,699624,701335,703769,704774,706952,699241,699321,707792,709849,710869
"Maine : commercial","number of customers","ELEC.CUSTOMERS.ME-COM.A",87761,87922,88266,88790,89047,89337,91541,97057,97948,99332,96065,99737
