"Receipts of fossil fuels by electricity plants for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/12?agg=0,1&fuel=f007&geo=vvvvvvvvvvvvo&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Mon Feb 15 2021 12:52:56 GMT+0330 (Iran Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Receipts of fossil fuels by electricity plants for all sectors",,,,,,,,,,,,,,
"United States",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"United States : coal","thousand tons","ELEC.RECEIPTS.COW-US-99.A",1069709,981477,979918,956538,841183,823222,854560,782929,650770,642364,596215,560153
"United States : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-US-99.A",463943,418688,403619,380184,317398,312821,334082,289093,245141,224500,205783,198016
"United States : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-US-99.A",522228,484007,491425,488366,442674,429283,440013,421127,333241,350580,329974,309029
"United States : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-US-99.A",68945,64966,71416,75675,71848,71191,71534,65826,64426,59665,52438,46781
"United States : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-US-99.A",61139,54181,45472,36158,19464,20413,28514,24320,16807,16127,22290,14711
"United States : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-US-99.A",7040,6954,5963,5980,4180,4660,5195,4897,4166,3309,3010,1969
"United States : natural gas","thousand mcf","ELEC.RECEIPTS.NG-US-99.A",7879046,8118550,8673070,9056164,9531389,8503424,8431423,9842581,10271180,9628733,10885764,11693486
"New England",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"New England : coal","thousand tons","ELEC.RECEIPTS.COW-NEW-99.A",8409,6586,5725,3628,1146,2917,2577,2081,1173,198,276,159
"New England : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-NEW-99.A",6868,6096,5197,3303,1104,2597,1836,1831,1088,198,156,159
"New England : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-NEW-99.A",1526,490,527,325,41,320,741,251,85,0,120,0
"New England : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-NEW-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New England : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-NEW-99.A","NM","NM","NM",2334,560,3177,4554,2937,590,502,1724,357
"New England : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-NEW-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New England : natural gas","thousand mcf","ELEC.RECEIPTS.NG-NEW-99.A",394730,394249,452965,484260,440421,364201,329008,370575,372811,352098,357295,338041
"Connecticut",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Connecticut : coal","thousand tons","ELEC.RECEIPTS.COW-CT-99.A",2033,1147,1183,349,41,320,487,251,85,0,105,0
"Connecticut : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-CT-99.A",658,657,656,24,0,0,0,0,0,0,0,0
"Connecticut : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-CT-99.A",1376,490,527,325,41,320,487,251,85,0,105,0
"Connecticut : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-CT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Connecticut : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-CT-99.A",686,658,610,264,161,594,1092,761,37,30,395,10
"Connecticut : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-CT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Connecticut : natural gas","thousand mcf","ELEC.RECEIPTS.NG-CT-99.A",65187,77029,91054,116563,112084,104666,96817,116115,118539,103957,132334,140794
"Maine",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Maine : coal","thousand tons","ELEC.RECEIPTS.COW-ME-99.A",243,65,88,61,51,66,85,104,87,66,62,69
"Maine : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-ME-99.A",228,65,88,61,51,66,85,104,87,66,62,69
"Maine : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-ME-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Maine : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-ME-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Maine : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-ME-99.A",1929,1469,1267,1334,151,898,637,873,29,178,298,152
"Maine : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-ME-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Maine : natural gas","thousand mcf","ELEC.RECEIPTS.NG-ME-99.A",59901,58027,64912,56230,42374,35119,29233,18262,22591,13735,13614,9373
"Massachusetts",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Massachusetts : coal","thousand tons","ELEC.RECEIPTS.COW-MA-99.A",4674,4122,3390,2147,700,1805,1225,1070,824,87,0,0
"Massachusetts : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-MA-99.A",4523,4122,3390,2147,700,1805,1225,1070,824,87,0,0
"Massachusetts : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-MA-99.A",150,0,0,0,"--","--","--","--","--","--","--","--"
"Massachusetts : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-MA-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Massachusetts : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-MA-99.A",3714,2204,831,476,238,1300,1867,1107,498,189,487,155
"Massachusetts : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-MA-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Massachusetts : natural gas","thousand mcf","ELEC.RECEIPTS.NG-MA-99.A",165924,162734,198154,198295,175314,148736,126810,145641,150999,157628,132566,110879
"New Hampshire",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"New Hampshire : coal","thousand tons","ELEC.RECEIPTS.COW-NH-99.A",1459,1252,1063,1070,353,726,526,657,177,45,94,90
"New Hampshire : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-NH-99.A",1459,1252,1063,1070,353,726,526,657,177,45,94,90
"New Hampshire : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-NH-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-NH-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-NH-99.A",585,384,157,160,9,354,741,81,11,80,365,13
"New Hampshire : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-NH-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire : natural gas","thousand mcf","ELEC.RECEIPTS.NG-NH-99.A",49195,38365,39294,47137,50408,29644,31309,42713,33883,26062,21600,25487
"Rhode Island",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Rhode Island : coal","thousand tons","ELEC.RECEIPTS.COW-RI-99.A","--","--","--","--","--","--",254,0,0,0,15,0
"Rhode Island : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-RI-99.A","--","--","--","--","--","--",254,0,0,0,15,0
"Rhode Island : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-RI-99.A",88,90,"NM","NM",0,31,217,115,15,27,179,28
"Rhode Island : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : natural gas","thousand mcf","ELEC.RECEIPTS.NG-RI-99.A",54484,58031,59496,65984,60203,46035,44839,47843,46798,50716,57181,51509
"Vermont",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Vermont : coal","thousand tons","ELEC.RECEIPTS.COW-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-VT-99.A","NM","NM","NM","NM",1,0,0,0,0,0,0,0
"Vermont : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : natural gas","thousand mcf","ELEC.RECEIPTS.NG-VT-99.A",38,64,56,49,37,0,0,0,0,0,0,0
"Middle Atlantic",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Middle Atlantic : coal","thousand tons","ELEC.RECEIPTS.COW-MAT-99.A",71032,60170,62518,55880,43998,42558,42038,31548,24329,23135,22115,19758
"Middle Atlantic : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-MAT-99.A",52635,43514,46917,42775,35282,35064,33254,25758,17702,17027,15657,14879
"Middle Atlantic : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-MAT-99.A",6639,5075,4474,2495,860,780,1218,420,0,0,0,0
"Middle Atlantic : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-MAT-99.A",0,"--","--","--","--","--","--","--","--","--","--","--"
"Middle Atlantic : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-MAT-99.A",8595,8729,4160,3418,1562,2088,5410,4179,1133,1159,3888,1293
"Middle Atlantic : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-MAT-99.A",192,279,132,79,106,105,111,107,0,0,0,0
"Middle Atlantic : natural gas","thousand mcf","ELEC.RECEIPTS.NG-MAT-99.A",752014,784342,912445,983951,1024559,943046,987872,1103350,1212167,1122972,1176917,1299674
"New Jersey",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"New Jersey : coal","thousand tons","ELEC.RECEIPTS.COW-NJ-99.A",4483,2336,2526,2050,1059,1105,1091,854,649,656,603,562
"New Jersey : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-NJ-99.A",3340,1397,1737,2036,1046,1105,1091,854,649,656,603,562
"New Jersey : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-NJ-99.A",1142,939,789,14,13,0,0,0,0,0,0,0
"New Jersey : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-NJ-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New Jersey : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-NJ-99.A",817,907,629,516,124,52,283,119,18,18,264,77
"New Jersey : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-NJ-99.A","--","--","--","NM",0,0,0,0,0,0,0,0
"New Jersey : natural gas","thousand mcf","ELEC.RECEIPTS.NG-NJ-99.A",186281,179531,217809,218548,200570,197576,220363,266209,309871,268581,278523,285788
"New York",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
