year,ratebase,cost,RoR_permitted,residential_tariff,residential_sale
2006,10304.24,3792,8.77,,
2007,10971.1,4066,8.77,,
2008,11610.17,4350,8.74,0.12,30745
2009,14003.67,4575,8.74,0.13,30063
2010,15647.6,4826,8.74,0.14,29035
2011,16291.25,5098,8.74,0.14,29631
2012,17048,5433,8.74,0.16,30563
2013,20894.23,5920,7.9,0.16,29889
2014,22730.22,5257,7.9,0.16,30115
2015,22231.38,5139,7.9,0.16,29959
2016,23885,5086,7.9,0.16,29141
2017,25658,5834,7.9,0.16,30221
2018,27750,7611,7.61,0.17,29865
2019,29828,5622,7.68,0.16,28985
2020,,7436,7.68,0.17,32475
2021,,7824,7.68,0.2,29223
2022,,9284,,0.23,29229
