"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Revenue from retail sales of electricity","million dollars",,,,,,,,,,,,,
"United States","million dollars","ELEC.REV.US-ALL.A",,,,,,,,,,,,
"United States : all sectors","million dollars","ELEC.REV.US-ALL.A",363583,353289,368918,371049,363687,375058,393096,391341,386509,390322,406420,401738
"United States : residential","million dollars","ELEC.REV.US-RES.A",155496,157044,166778,166714,163280,169131,176178,177624,177077,177661,189033,187436
"United States : commercial","million dollars","ELEC.REV.US-COM.A",137036,132747,135554,135927,133898,137188,145253,144781,142643,144242,147425,145280
"United States : industrial","million dollars","ELEC.REV.US-IND.A",70231,62670,65772,67606,65761,67934,70855,68166,66068,67691,69218,68285
"United States : transportation","million dollars","ELEC.REV.US-TRA.A",820,828,814,803,747,805,810,771,722,728,744,737
"United States : other","million dollars","ELEC.REV.US-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New England","million dollars","ELEC.REV.NEW-ALL.A",,,,,,,,,,,,
"New England : all sectors","million dollars","ELEC.REV.NEW-ALL.A",19761,18646,18363,17536,16885,17558,18541,19852,18996,19138,20918,20328
"New England : residential","million dollars","ELEC.REV.NEW-RES.A",8172,8024,7886,7546,7418,7846,8414,9227,8751,8897,9910,9744
"New England : commercial","million dollars","ELEC.REV.NEW-COM.A",8619,6880,6764,6441,6137,6277,7806,8255,8009,8080,8709,8412
"New England : industrial","million dollars","ELEC.REV.NEW-IND.A",2907,3697,3665,3504,3292,3365,2263,2312,2191,2114,2249,2122
"New England : transportation","million dollars","ELEC.REV.NEW-TRA.A",63,45,48,45,38,70,58,58,45,46,50,50
"New England : other","million dollars","ELEC.REV.NEW-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Connecticut","million dollars","ELEC.REV.CT-ALL.A",,,,,,,,,,,,
"Connecticut : all sectors","million dollars","ELEC.REV.CT-ALL.A",5510,5370,5283,4882,4584,4669,5004,5239,4989,4938,5309,5206
"Connecticut : residential","million dollars","ELEC.REV.CT-RES.A",2488,2557,2514,2339,2213,2306,2523,2699,2537,2512,2769,2733
"Connecticut : commercial","million dollars","ELEC.REV.CT-COM.A",2340,2236,2209,2038,1901,1904,2005,2070,2000,1981,2075,2036
"Connecticut : industrial","million dollars","ELEC.REV.CT-IND.A",653,553,539,486,452,440,454,445,432,425,442,413
"Connecticut : transportation","million dollars","ELEC.REV.CT-TRA.A",29,22,21,19,19,20,22,25,20,19,23,24
"Connecticut : other","million dollars","ELEC.REV.CT-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Maine","million dollars","ELEC.REV.ME-ALL.A",,,,,,,,,,,,
"Maine : all sectors","million dollars","ELEC.REV.ME-ALL.A",1611,1481,1481,1436,1366,1406,1518,1519,1465,1460,1660,1647
"Maine : residential","million dollars","ELEC.REV.ME-RES.A",707,682,687,674,657,669,712,728,726,741,821,858
"Maine : commercial","million dollars","ELEC.REV.ME-COM.A",537,513,513,494,467,471,506,501,482,475,556,532
"Maine : industrial","million dollars","ELEC.REV.ME-IND.A",367,286,281,268,242,265,300,290,258,245,283,257
"Maine : transportation","million dollars","ELEC.REV.ME-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Maine : other","million dollars","ELEC.REV.ME-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Massachusetts","million dollars","ELEC.REV.MA-ALL.A",,,,,,,,,,,,
"Massachusetts : all sectors","million dollars","ELEC.REV.MA-ALL.A",9072,8397,8145,7842,7627,8020,8364,9232,8812,8991,9860,9445
"Massachusetts : residential","million dollars","ELEC.REV.MA-RES.A",3449,3286,3125,3003,3029,3282,3491,4000,3742,3879,4383,4233
"Massachusetts : commercial","million dollars","ELEC.REV.MA-COM.A",4271,2731,2651,2547,2453,2521,3827,4136,4046,4138,4457,4255
"Massachusetts : industrial","million dollars","ELEC.REV.MA-IND.A",1319,2357,2347,2270,2127,2169,1014,1069,1004,952,998,936
"Massachusetts : transportation","million dollars","ELEC.REV.MA-TRA.A",33,22,23,22,17,47,32,27,20,22,22,21
"Massachusetts : other","million dollars","ELEC.REV.MA-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire","million dollars","ELEC.REV.NH-ALL.A",,,,,,,,,,,,
"New Hampshire : all sectors","million dollars","ELEC.REV.NH-ALL.A",1606,1615,1616,1602,1543,1579,1666,1762,1707,1744,1880,1838
"New Hampshire : residential","million dollars","ELEC.REV.NH-RES.A",689,725,732,736,713,744,791,838,816,853,914,904
"New Hampshire : commercial","million dollars","ELEC.REV.NH-COM.A",646,638,636,629,598,611,640,672,645,650,703,682
"New Hampshire : industrial","million dollars","ELEC.REV.NH-IND.A",271,252,248,238,231,225,235,252,247,241,263,252
"New Hampshire : transportation","million dollars","ELEC.REV.NH-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"New Hampshire : other","million dollars","ELEC.REV.NH-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island","million dollars","ELEC.REV.RI-ALL.A",,,,,,,,,,,,
