"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Average cost of fossil fuels for electricity generation for all sectors",,,,,,,,,,,,,,
"United States",,"ELEC.COST..A",,,,,,,,,,,,
"United States : coal","dollars per tons","ELEC.COST.COW-US-99.A",41.14,43.74,44.64,"W","W","W",45.96,42.86,40.64,"W","W","W"
"United States : bituminous coal","dollars per tons","ELEC.COST.BIT-US-99.A",59.92,65.81,67.31,"W","W","W",64.70,60.59,56.44,"W","W","W"
"United States : subbituminous coal","dollars per tons","ELEC.COST.SUB-US-99.A",28.11,28.51,30.15,"W","W","W",35.97,33.80,33.05,"W","W","W"
"United States : lignite coal","dollars per tons","ELEC.COST.LIG-US-99.A",18.28,20.37,20.98,"W","W","W",23.17,24.98,22.74,"W","W","W"
"United States : petroleum liquids","dollars per barrels","ELEC.COST.PEL-US-99.A",95.38,62.47,84.80,"W","W","W",120.26,69.79,56.89,"W","W","W"
"United States : petroleum coke","dollars per tons","ELEC.COST.PC-US-99.A",59.72,45.89,64.85,"W","W","W",56.23,52.11,46.30,"W","W","W"
"United States : natural gas","dollars per mcf","ELEC.COST.NG-US-99.A",9.26,4.86,5.20,"W","W","W",5.14,3.34,2.97,"W","W","W"
"New England",,"ELEC.COST..A",,,,,,,,,,,,
"New England : coal","dollars per tons","ELEC.COST.COW-NEW-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"New England : bituminous coal","dollars per tons","ELEC.COST.BIT-NEW-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"New England : subbituminous coal","dollars per tons","ELEC.COST.SUB-NEW-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"New England : lignite coal","dollars per tons","ELEC.COST.LIG-NEW-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New England : petroleum liquids","dollars per barrels","ELEC.COST.PEL-NEW-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"New England : petroleum coke","dollars per tons","ELEC.COST.PC-NEW-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New England : natural gas","dollars per mcf","ELEC.COST.NG-NEW-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Connecticut",,"ELEC.COST..A",,,,,,,,,,,,
"Connecticut : coal","dollars per tons","ELEC.COST.COW-CT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Connecticut : bituminous coal","dollars per tons","ELEC.COST.BIT-CT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Connecticut : subbituminous coal","dollars per tons","ELEC.COST.SUB-CT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Connecticut : lignite coal","dollars per tons","ELEC.COST.LIG-CT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Connecticut : petroleum liquids","dollars per barrels","ELEC.COST.PEL-CT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Connecticut : petroleum coke","dollars per tons","ELEC.COST.PC-CT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Connecticut : natural gas","dollars per mcf","ELEC.COST.NG-CT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Maine",,"ELEC.COST..A",,,,,,,,,,,,
"Maine : coal","dollars per tons","ELEC.COST.COW-ME-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
